mean_intensity,std_intensity,entropy,sharpness,contrast
50.99830627441406,66.90619313402495,4.150578022003174,943.8306651168969,1.311929709469428
48.045283026009024,73.38203031413913,3.7339844703674316,464.3719306569299,1.527351400436422
32.700080213903746,52.70986239382962,3.4489355087280273,488.1474944859662,1.6119184432892588
25.884193420410156,52.52294632380119,2.743656635284424,1141.9853377302643,2.029151361633154
34.937191009521484,52.668939467573004,3.5651679039001465,660.4800514671806,1.50753217261282
28.850406646728516,53.74095470512644,3.644078493118286,1135.294984495136,1.8627451378131747
51.1889533996582,67.33259059049823,4.117666244506836,707.1879042452201,1.315373456940962
18.882083892822266,46.0031010824389,2.1729860305786133,1609.2115325441118,2.436336017971315
20.518272399902344,43.406202475830796,2.534247636795044,801.8761366866529,2.115490116801324
52.92775229357798,78.19476160434623,3.806865692138672,493.62629511633236,1.4773867813357726
59.74797064026478,75.79742253505906,4.5169854164123535,447.9678039347592,1.268619196983711
34.406700134277344,61.41262000272357,3.1715869903564453,1091.7735048871837,1.7849029335289797
46.263492584228516,72.62527005581646,3.3220324516296387,828.4961031006968,1.5698181438332397
27.144149780273438,47.97636001782634,3.036630630493164,594.5480646821088,1.7674659330347626
16.566417694091797,39.135391152293806,2.3938286304473877,890.0874446621165,2.362332755031943
35.09117456506412,61.15207238855204,3.2963707447052,253.67962260157643,1.7426624542067477
26.43008837884184,41.466159056967484,3.4662814140319824,261.2804040581785,1.5688997502619975
7.86090087890625,28.66445175756816,1.4036142826080322,1061.2242050170898,3.6464588727337413
57.13624274938671,73.222563872467,4.507496356964111,451.44186689253905,1.2815432088112402
74.74331422597159,82.53732809609426,4.616180419921875,402.6839209392237,1.104277070810093
33.84773254394531,60.858873117898106,3.1439385414123535,1088.9690840416006,1.7980192037644942
51.65215581191146,76.90994138143438,3.797604560852051,491.1370261955508,1.4889977034356083
68.99897842979635,82.72081386659879,4.134167194366455,457.68035120351465,1.1988701245883495
34.67032241821289,54.865931055650954,3.4908761978149414,678.9775722533814,1.5825042061572805
45.083106994628906,64.34748087492342,3.950319290161133,1442.4004159204048,1.4273080354153413
27.869754791259766,55.084155048547366,3.0406441688537598,1166.5768066337332,1.9764850986712774
42.460329369643304,71.49397753513756,3.399463653564453,588.9619976808806,1.6837829238849864
23.410125732421875,44.932647764088124,2.8807713985443115,899.6238713458733,1.9193680665225394
31.982826232910156,58.55122919017896,3.0924909114837646,1051.943460246184,1.8307084171920385
26.02981185913086,56.19404409555658,2.3523595333099365,1161.4979320233688,2.158834047655422
23.054473876953125,48.98231179744899,2.747783660888672,677.8677864115307,2.1246336853696395
21.9815673828125,46.997949715132506,2.6700944900512695,1504.2513601061505,2.1380618086351952
30.9391390769613,62.07276715409961,3.0228524208068848,622.954003740364,2.0062861800935448
52.32294221394616,77.59872249897252,3.80242919921875,494.2887837823039,1.4830726105132779
40.654788970947266,58.37551203723054,4.327268123626709,1113.146290244942,1.435882795479442
36.37310791015625,58.60800129623121,3.4651057720184326,1072.6207817357351,1.6113003442267422
66.57589324958245,74.1073655229864,4.767568111419678,364.9140730210368,1.113126116763761
40.6142578125,60.08936012488567,3.6482033729553223,1286.7418593563489,1.4795139283917125
23.501388549804688,45.36754273623358,2.882120132446289,891.4593706190935,1.930419670313932
26.223526000976562,41.21718824181797,3.59163761138916,725.0118804884696,1.5717637757898402
25.429656982421875,49.07286558536989,3.011941909790039,627.7165649015806,1.929749411063282
43.34964550559672,74.23942738890811,3.3564233779907227,645.4634675162966,1.7125728831928584
35.21693751490224,52.41005480172599,3.717318058013916,193.11765934673087,1.4882059173813278
41.581770226415564,68.02584664002914,3.7584574222564697,426.6432818808143,1.6359535986472866
44.37876400404808,66.05171393445627,4.824845790863037,455.4385753564932,1.488363081234783
46.27143478393555,61.50323127563186,4.46285343170166,1043.7395369740989,1.3291835786554098
48.33320236206055,69.02189092084971,3.8756330013275146,1349.9088568387087,1.42804299214051
38.22397994995117,67.98062598342973,2.891531229019165,748.8496695858776,1.7784811019794544
60.45658874511719,73.25482349280804,4.765658378601074,1352.275150203597,1.2116929686795224
69.34040818980935,80.68820236336362,4.442713737487793,409.39726645061296,1.163653408882326
37.195470455956126,64.28976281898987,3.5644826889038086,579.8325699508247,1.7284298875885067
68.85827255249023,77.43929269361587,4.481644630432129,1004.2886884212494,1.1246185799184023
42.38063578633503,71.21943732154027,3.4814000129699707,601.6789385215777,1.6804711869023887
30.454132080078125,47.94069586311797,3.362964153289795,864.1807317560159,1.5741934702673355
23.23431396484375,39.665089132377524,3.350268602371216,693.4161862798355,1.7071771171034131
26.845764682682695,53.18704420904976,3.137704849243164,599.0305934561684,1.98120801689657
30.470726409752025,44.795221520394406,3.520671844482422,154.11018128350688,1.47010678111231
19.6497920497839,33.74255679612696,3.023172378540039,188.5294795576911,1.7171966354981374
59.032047901811985,75.015362242881,4.565507888793945,472.849517537771,1.270756562056835
12.298019409179688,36.0742601775698,1.6731992959976196,1307.0220108032227,2.933339018040796
25.95528793334961,47.61929386947823,3.7460813522338867,800.6879070398718,1.8346663690173446
19.447242736816406,41.01837734287606,2.8112740516662598,647.2728135919751,2.109213007622022
77.55236028865288,82.96671736796678,4.970091819763184,494.65449222731627,1.0698155034761219
